STC,SERIAL_NUMBER,IMEI,IMSI,CCID,MAC_ADDRESS,STATUS,TIMESTAMP
,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,Error,2025-08-26 14:18:19
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
6000,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,Printed,2025-08-26 14:19:01
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
6001,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,Printed,2025-08-26 14:19:09
