STC,SERIAL_NUMBER,IMEI,IMSI,CCID,MAC_ADDRESS,STATUS,TIMESTAMP
,ATS542912923728,866988074133496.0,286019876543210.0,8.991101200003204e+18,AA:BB:CC:DD:EE:FF,Error,2025-08-26 14:18:19
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
,PARSE_ERROR,,,,,Error,2025-08-26 14:18:59
6000.0,ATS542912923728,866988074133496.0,286019876543210.0,8.991101200003204e+18,AA:BB:CC:DD:EE:FF,Printed,2025-08-26 14:19:01
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
,PARSE_ERROR,,,,,Error,2025-08-26 14:19:07
6001.0,ATS542912923728,866988074133496.0,286019876543210.0,8.991101200003204e+18,AA:BB:CC:DD:EE:FF,Printed,2025-08-26 14:19:09
