timestamp,serial_number,imei,imsi,ccid,mac_address,stc,print_status,zpl_file,raw_data
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,ets Jul 29 2019 12:21:46
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"configsip: 0, SPIWP:0xee"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"mode:DIO, clock div:1"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x3fff0030,len:4980"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40078000,len:16612"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40080400,len:3480"
2025-08-26 10:28:07,PARSE_ERROR,,,,,,PARSE_ERROR,,entry 0x400805b4
2025-08-26 10:28:10,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,6000,SUCCESS_WITH_PCB,ATS542912923728_20250826_102810.zpl,##ATS542912923728|866988074133496|286019876543210|8991101200003204510|AA:BB:CC:DD:EE:FF##
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,ets Jul 29 2019 12:21:46
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"configsip: 0, SPIWP:0xee"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"mode:DIO, clock div:1"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x3fff0030,len:4980"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40078000,len:16612"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40080400,len:3480"
2025-08-26 10:28:16,PARSE_ERROR,,,,,,PARSE_ERROR,,entry 0x400805b4
2025-08-26 10:28:18,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,6001,SUCCESS_WITH_PCB,ATS542912923728_20250826_102818.zpl,##ATS542912923728|866988074133496|286019876543210|8991101200003204510|AA:BB:CC:DD:EE:FF##
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,ets Jul 29 2019 12:21:46
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"configsip: 0, SPIWP:0xee"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"mode:DIO, clock div:1"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x3fff0030,len:4980"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40078000,len:16612"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40080400,len:3480"
2025-08-26 14:12:02,PARSE_ERROR,,,,,,PARSE_ERROR,,entry 0x400805b4
2025-08-26 14:12:04,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,6002,SUCCESS_WITH_PCB,ATS542912923728_20250826_141204.zpl,##ATS542912923728|866988074133496|286019876543210|8991101200003204510|AA:BB:CC:DD:EE:FF##
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,ets Jul 29 2019 12:21:46
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"configsip: 0, SPIWP:0xee"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"mode:DIO, clock div:1"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x3fff0030,len:4980"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40078000,len:16612"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40080400,len:3480"
2025-08-26 14:12:08,PARSE_ERROR,,,,,,PARSE_ERROR,,entry 0x400805b4
2025-08-26 14:12:10,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,6003,SUCCESS_WITH_PCB,ATS542912923728_20250826_141210.zpl,##ATS542912923728|866988074133496|286019876543210|8991101200003204510|AA:BB:CC:DD:EE:FF##
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,ets Jul 29 2019 12:21:46
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"configsip: 0, SPIWP:0xee"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"mode:DIO, clock div:1"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x3fff0030,len:4980"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40078000,len:16612"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,"load:0x40080400,len:3480"
2025-08-26 14:12:21,PARSE_ERROR,,,,,,PARSE_ERROR,,entry 0x400805b4
2025-08-26 14:12:23,ATS542912923728,866988074133496,286019876543210,8991101200003204510,AA:BB:CC:DD:EE:FF,6004,SUCCESS_WITH_PCB,ATS542912923728_20250826_141223.zpl,##ATS542912923728|866988074133496|286019876543210|8991101200003204510|AA:BB:CC:DD:EE:FF##
